stem,model,perturbation,level,psnr,ssim,lpips,clip_cos,dinov2L_cos
20260505_161139_0c4eecad,student_l1b_c,clean,0.0,20.77588665351047,0.7291502952575684,0.17341327667236328,0.9619196653366089,0.9484373331069946
20260505_161139_0c4eecad,teacher_15b,exposure,0.8,21.0090325708553,0.7466475367546082,0.12454400956630707,0.9803043603897095,0.964392900466919
20260505_161139_0c4eecad,student_l1b_c,exposure,0.8,19.12044468589691,0.7036494016647339,0.18472018837928772,0.9644781351089478,0.9372872114181519
20260505_161139_0c4eecad,teacher_15b,exposure,1.2,21.74746302309216,0.7540938258171082,0.12538963556289673,0.9756263494491577,0.9665716886520386
20260505_161139_0c4eecad,student_l1b_c,exposure,1.2,20.638947733758258,0.7271789908409119,0.17561984062194824,0.9553807973861694,0.9512020349502563
20260505_161139_0c4eecad,teacher_15b,gamma,0.8,21.687868948215826,0.7543455958366394,0.12203361093997955,0.9746944904327393,0.9662682414054871
20260505_161139_0c4eecad,student_l1b_c,gamma,0.8,20.82773887614492,0.7274645566940308,0.17105334997177124,0.9631479978561401,0.945753812789917
20260505_161139_0c4eecad,teacher_15b,gamma,1.2,21.620012174130242,0.7548472285270691,0.1208898052573204,0.9778502583503723,0.966478705406189
20260505_161139_0c4eecad,student_l1b_c,gamma,1.2,20.542822883846856,0.7276004552841187,0.17733629047870636,0.9615453481674194,0.9486854076385498
20260505_161139_0c4eecad,teacher_15b,blur,1.0,21.078736750479816,0.658865213394165,0.30340197682380676,0.9487369060516357,0.9541979432106018
20260505_161139_0c4eecad,student_l1b_c,blur,1.0,17.74165194963195,0.6096755862236023,0.3907451331615448,0.9132971167564392,0.9061349630355835
20260505_161139_0c4eecad,teacher_15b,blur,2.0,12.815158621243889,0.43715542554855347,0.6700727939605713,0.7198094129562378,0.6331526637077332
20260505_161139_0c4eecad,student_l1b_c,blur,2.0,13.49241367489022,0.4360271096229553,0.6833351254463196,0.667188286781311,0.7022484540939331
20260505_161139_0c4eecad,teacher_15b,noise,0.01,20.985729073798293,0.7307381629943848,0.1508331000804901,0.9622511863708496,0.966862678527832
20260505_161139_0c4eecad,student_l1b_c,noise,0.01,20.746490081822184,0.7111673355102539,0.19308818876743317,0.9439051151275635,0.9428911805152893
20260505_161139_0c4eecad,teacher_15b,noise,0.03,18.74978688531971,0.6222777962684631,0.2721381187438965,0.9371886253356934,0.9212920069694519
20260505_161139_0c4eecad,student_l1b_c,noise,0.03,19.839803735117236,0.6095037460327148,0.32232826948165894,0.8545681834220886,0.8495761156082153
20260505_143834_672236_f00ca076,teacher_15b,clean,0.0,32.868164550953935,0.8704239726066589,0.04195765405893326,0.9792587757110596,0.9405730366706848
20260505_143834_672236_f00ca076,student_l1b_c,clean,0.0,31.118062766464693,0.8597550392150879,0.05928047001361847,0.958236575126648,0.9417802095413208
20260505_143834_672236_f00ca076,teacher_15b,exposure,0.8,31.66359421579593,0.8658973574638367,0.04916027560830116,0.9825594425201416,0.9386904239654541
20260505_143834_672236_f00ca076,student_l1b_c,exposure,0.8,28.24129633002368,0.8491747379302979,0.07461996376514435,0.9622926712036133,0.9435640573501587
20260505_143834_672236_f00ca076,teacher_15b,exposure,1.2,31.34299048919846,0.8678387403488159,0.0414009764790535,0.9783334732055664,0.9387252330780029
20260505_143834_672236_f00ca076,student_l1b_c,exposure,1.2,28.875922539568194,0.8564562797546387,0.05727623403072357,0.9550274014472961,0.940667986869812
